"Phoneme","Feature","Value","Weight"
"a","Vocalic",8,1
"a","Voiced",0,0
"a","Voiced",1,0
"a","Voiced",2,0
"a","Voiced",3,0
"a","Voiced",4,0
"a","Voiced",5,0
"a","Voiced",6,0
"a","Voiced",7,0
"a","Voiced",8,1
"i","Acute",0,0
"i","Acute",1,0
"i","Acute",2,0
"i","Acute",3,0
"i","Acute",4,0
"i","Acute",5,0
"i","Acute",6,0.1
"i","Acute",7,0.3
"i","Acute",8,1
"i","Burst",0,0
"i","Burst",1,0
"i","Burst",2,0
"i","Burst",3,0
"i","Burst",4,0
"i","Burst",5,0
"i","Burst",6,0
"i","Burst",7,0
"i","Burst",8,0
"i","Consonantal",0,0
"i","Consonantal",1,1
"i","Consonantal",2,0
"i","Consonantal",3,0
"i","Consonantal",4,0
"i","Consonantal",5,0
"i","Consonantal",6,0
"i","Consonantal",7,0
"i","Consonantal",8,0
"i","Diffuse",0,0
"i","Diffuse",1,0
"i","Diffuse",2,0
"i","Diffuse",3,0
"i","Diffuse",4,0
"i","Diffuse",5,0
"i","Diffuse",6,0
"i","Diffuse",7,0
"i","Diffuse",8,1
"i","Power",0,0
"i","Power",1,0
"i","Power",2,0
"i","Power",3,0
"i","Power",4,0
"i","Power",5,0
"i","Power",6,0
"i","Power",7,0
"i","Power",8,1
"i","Vocalic",0,0
"i","Vocalic",1,0
"i","Vocalic",2,0
"i","Vocalic",3,0
"i","Vocalic",4,0
"i","Vocalic",5,0
"i","Vocalic",6,0
"i","Vocalic",7,0
"i","Vocalic",8,1
"i","Voiced",0,0
"i","Voiced",1,0
"i","Voiced",2,0
"i","Voiced",3,0
"i","Voiced",4,0
"i","Voiced",5,0
"i","Voiced",6,0
"i","Voiced",7,0
"i","Voiced",8,1
"u","Acute",0,0
"u","Acute",1,0.3
"u","Acute",2,1
"u","Acute",3,0.3
"u","Acute",4,0.1
"u","Acute",5,0
"u","Acute",6,0
"u","Acute",7,0
"u","Acute",8,0
"u","Burst",0,0
"u","Burst",1,0
"u","Burst",2,0
"u","Burst",3,0
"u","Burst",4,0
"u","Burst",5,0
"u","Burst",6,0
"u","Burst",7,0
"u","Burst",8,0
"u","Consonantal",0,0
"u","Consonantal",1,1
"u","Consonantal",2,0
"u","Consonantal",3,0
"u","Consonantal",4,0
"u","Consonantal",5,0
"u","Consonantal",6,0
"u","Consonantal",7,0
"u","Consonantal",8,0
"u","Diffuse",0,0
"u","Diffuse",1,0
"u","Diffuse",2,0
"u","Diffuse",3,0
"u","Diffuse",4,0
"u","Diffuse",5,0
"u","Diffuse",6,1
"u","Diffuse",7,0
"u","Diffuse",8,0
"u","Power",0,0
"u","Power",1,0
"u","Power",2,0
"u","Power",3,0
"u","Power",4,0
"u","Power",5,0
"u","Power",6,0
"u","Power",7,0
"u","Power",8,1
"u","Vocalic",0,0
"u","Vocalic",1,0
"u","Vocalic",2,0
"u","Vocalic",3,0
"u","Vocalic",4,0
"u","Vocalic",5,0
"u","Vocalic",6,0
"u","Vocalic",7,0
"u","Vocalic",8,1
"u","Voiced",0,0
"u","Voiced",1,0
"u","Voiced",2,0
"u","Voiced",3,0
"u","Voiced",4,0
"u","Voiced",5,0
"u","Voiced",6,0
"u","Voiced",7,0
"u","Voiced",8,1
"^","Acute",0,0
"^","Acute",1,1
"^","Acute",2,0.3
"^","Acute",3,0.1
"^","Acute",4,0
"^","Acute",5,0
"^","Acute",6,0
"^","Acute",7,0
"^","Acute",8,0
"^","Burst",0,0
"^","Burst",1,0
"^","Burst",2,0
"^","Burst",3,0
"^","Burst",4,0
"^","Burst",5,0
"^","Burst",6,0
"^","Burst",7,0
"^","Burst",8,0
"^","Consonantal",0,0
"^","Consonantal",1,1
"^","Consonantal",2,0
"^","Consonantal",3,0
"^","Consonantal",4,0
"^","Consonantal",5,0
"^","Consonantal",6,0
"^","Consonantal",7,0
"^","Consonantal",8,0
"^","Diffuse",0,0
"^","Diffuse",1,0
"^","Diffuse",2,0
"^","Diffuse",3,0
"^","Diffuse",4,0
"^","Diffuse",5,1
"^","Diffuse",6,0
"^","Diffuse",7,0
"^","Diffuse",8,0
"^","Power",0,0
"^","Power",1,0
"^","Power",2,0
"^","Power",3,0
"^","Power",4,0
"^","Power",5,0
"^","Power",6,0
"^","Power",7,1
"^","Power",8,0
"^","Vocalic",0,0
"^","Vocalic",1,0
"^","Vocalic",2,0
"^","Vocalic",3,0
"^","Vocalic",4,0
"^","Vocalic",5,0
"^","Vocalic",6,0
"^","Vocalic",7,0
"^","Vocalic",8,1
"^","Voiced",0,0
"^","Voiced",1,0
"^","Voiced",2,0
"^","Voiced",3,0
"^","Voiced",4,0
"^","Voiced",5,0
"^","Voiced",6,0
"^","Voiced",7,0
"^","Voiced",8,1
"-","Acute",0,1
"-","Acute",1,0
"-","Acute",2,0
"-","Acute",3,0
"-","Acute",4,0
"-","Acute",5,0
"-","Acute",6,0
"-","Acute",7,0
"-","Acute",8,0
"-","Burst",0,1
"-","Burst",1,0
"-","Burst",2,0
"-","Burst",3,0
"-","Burst",4,0
"-","Burst",5,0
"-","Burst",6,0
"-","Burst",7,0
"-","Burst",8,0
"-","Consonantal",0,1
"-","Consonantal",1,0
"-","Consonantal",2,0
"-","Consonantal",3,0
"-","Consonantal",4,0
"-","Consonantal",5,0
"-","Consonantal",6,0
"-","Consonantal",7,0
"-","Consonantal",8,0
"-","Diffuse",0,1
"-","Diffuse",1,0
"-","Diffuse",2,0
"-","Diffuse",3,0
"-","Diffuse",4,0
"-","Diffuse",5,0
"-","Diffuse",6,0
"-","Diffuse",7,0
"-","Diffuse",8,0
"-","Power",0,1
"-","Power",1,0
"-","Power",2,0
"-","Power",3,0
"-","Power",4,0
"-","Power",5,0
"-","Power",6,0
"-","Power",7,0
"-","Power",8,0
"-","Vocalic",0,1
"-","Vocalic",1,0
"-","Vocalic",2,0
"-","Vocalic",3,0
"-","Vocalic",4,0
"-","Vocalic",5,0
"-","Vocalic",6,0
"-","Vocalic",7,0
"-","Vocalic",8,0
"-","Voiced",0,1
"-","Voiced",1,0
"-","Voiced",2,0
"-","Voiced",3,0
"-","Voiced",4,0
"-","Voiced",5,0
"-","Voiced",6,0
"-","Voiced",7,0
"-","Voiced",8,0
